id,grupo,texto,opciones,normaDefault,correccionDefault,seccion,orden
REQ_024,Requisitos Generales:,"1. Solicitud en formulario normalizado dirigida al Director de Gestión de Planificación, Hábitat y Desarrollo Urbanístico y suscrito por el propietario y los profesionales responsables de los planos y de la construcción",Cumple|No Cumple,"Ordenanza 016-2023, Artículo 98",Subsanar o completar el requisito documental indicado para continuar con el proceso de revisión.,DOCUMENTAL,1
REQ_025,Requisitos Generales:,2. Informe Predial de Regulaciones de Uso de Suelo (IPRUS vigente),Cumple|No Cumple,"Ordenanza 016-2023, Artículo 98",Subsanar o completar el requisito documental indicado para continuar con el proceso de revisión.,DOCUMENTAL,2
REQ_026,Requisitos Generales:,3. Copia simple de escritura o título de propiedad del inmueble inscrita en el Registro de la Propiedad,Cumple|No Cumple,"Ordenanza 016-2023, Artículo 98",Subsanar o completar el requisito documental indicado para continuar con el proceso de revisión.,DOCUMENTAL,3
REQ_027,Requisitos Generales:,4. Certificado de Gravámenes Actualizado.,Cumple|No Cumple,"Ordenanza 016-2023, Artículo 98",Subsanar o completar el requisito documental indicado para continuar con el proceso de revisión.,DOCUMENTAL,4
REQ_028,Requisitos Generales:,"5. Un original en físico y digital del proyecto Técnico de Edificación de Obra Mayor para efecto de revisión de la propuesta, una vez que la misma sea aprobada deberá presentarse 2 originales adicionales.",Cumple|No Cumple,"Ordenanza 016-2023, Artículo 98",Subsanar o completar el requisito documental indicado para continuar con el proceso de revisión.,DOCUMENTAL,5
REQ_029,Requisitos Generales:,6. Estudio estructural que incluya diseño estructural con memoria de cálculo.,Cumple|No Cumple,"Ordenanza 016-2023, Artículo 98",Subsanar o completar el requisito documental indicado para continuar con el proceso de revisión.,DOCUMENTAL,6
REQ_030,Requisitos Generales:,7. Copia del RUC y patente del profesional responsable,Cumple|No Cumple,"Ordenanza 016-2023, Artículo 98",Subsanar o completar el requisito documental indicado para continuar con el proceso de revisión.,DOCUMENTAL,7
REQ_031,Requisitos Generales:,8. Formulario de encuesta de edificaciones (permisos de construcción) proporcionado por el INEC,Cumple|No Cumple,"Ordenanza 016-2023, Artículo 98",Subsanar o completar el requisito documental indicado para continuar con el proceso de revisión.,DOCUMENTAL,8
REQ_032,Requisitos Generales:,9. Certificado de aprobación de planos y factibilidad de los sistemas públicos de soporte emitidos por las dependencias competentes.,Cumple|No Cumple,"Ordenanza 016-2023, Artículo 98",Subsanar o completar el requisito documental indicado para continuar con el proceso de revisión.,DOCUMENTAL,9
REQ_033,Requisitos más de 2 pisos o 400 m2,1. Aprobación del Anteproyecto de Edificación con sus respectivos habilitantes.,Cumple|No Cumple,"Ordenanza 016-2023, Artículo 98",Subsanar o completar el requisito documental indicado para continuar con el proceso de revisión.,DOCUMENTAL,10
REQ_034,Requisitos más de 2 pisos o 400 m2,2. Estudios de ingeniería respectivos aprobados por las dependencias competentes.,Cumple|No Cumple,"Ordenanza 016-2023, Artículo 98",Subsanar o completar el requisito documental indicado para continuar con el proceso de revisión.,DOCUMENTAL,11
REQ_035,Requisitos más de 2 pisos o 400 m2,3. Plano contra incendios aprobado por el Cuerpo de Bomberos.,Cumple|No Cumple,"Ordenanza 016-2023, Artículo 98",Subsanar o completar el requisito documental indicado para continuar con el proceso de revisión.,DOCUMENTAL,12
REQ_036,Requisitos más de 2 pisos o 400 m2,4. Estudio geotécnico y/o mecánica de suelos conforme a la Norma Ecuatoriana de la Construcción.,Cumple|No Cumple,"Ordenanza 016-2023, Artículo 98",Subsanar o completar el requisito documental indicado para continuar con el proceso de revisión.,DOCUMENTAL,13
REQ_038,Requisitos complementarios,"1. Cronograma de ejecución de obra, con base al cual se programarán las inspecciones de control de obra.",Cumple|No Cumple|No Aplica,"Ordenanza 016-2023, Artículo 98",Subsanar o completar el requisito documental indicado para continuar con el proceso de revisión.,DOCUMENTAL,14
REQ_039,Requisitos complementarios,"2. Certificado, registro o licencia ambiental emitido por el ente competente.",Cumple|No Cumple|No Aplica,"Ordenanza 016-2023, Artículo 98",Subsanar o completar el requisito documental indicado para continuar con el proceso de revisión.,DOCUMENTAL,15
REQ_040,Requisitos complementarios,"3. En caso de copropiedad la designación de un representante común, que podrá realizarse en el formulario normalizado, mediante autorización con reconocimiento de firma y rúbrica o mediante poder.",Cumple|No Cumple|No Aplica,"Ordenanza 016-2023, Artículo 98",Subsanar o completar el requisito documental indicado para continuar con el proceso de revisión.,DOCUMENTAL,16
REQ_041,Requisitos complementarios,4. En el caso edificaciones declaradas en propiedad horizontal se requerirá la autorización de al menos el 75% de los copropietarios.,Cumple|No Cumple|No Aplica,"Ordenanza 016-2023, Artículo 98",Subsanar o completar el requisito documental indicado para continuar con el proceso de revisión.,DOCUMENTAL,17
REQ_042,Requisitos complementarios,"5. En proyectos hoteleros y de servicios turísticos, Certificado de calificación hotelera por parte del Ministerio de Turismo.",Cumple|No Cumple|No Aplica,"Ordenanza 016-2023, Artículo 98",Subsanar o completar el requisito documental indicado para continuar con el proceso de revisión.,DOCUMENTAL,18
OM_PROP_001,Proyecto técnico y suscripción,El Proyecto Técnico está suscrito por el propietario del predio.,Cumple|No Cumple|No Aplica,"Ordenanza No. 016-2023, Artículo 95",,PROPUESTA_ARQUITECTONICA,1
OM_PROP_002,Proyecto técnico y suscripción,"El Proyecto Técnico está suscrito por el promotor, cuando corresponda.",Cumple|No Cumple|No Aplica,"Ordenanza No. 016-2023, Artículo 95",,PROPUESTA_ARQUITECTONICA,2
OM_PROP_003,Proyecto técnico y suscripción,El Proyecto Técnico está suscrito por los profesionales técnicos respectivos.,Cumple|No Cumple|No Aplica,"Ordenanza No. 016-2023, Artículo 95",,PROPUESTA_ARQUITECTONICA,3
OM_PROP_004,1. Formato y entrega de planos,Los planos se presentan en formato A1 o A0 conforme a normas INEN.,Cumple|No Cumple|No Aplica,"Ordenanza No. 016-2023, Artículo 95, numeral 1",,PROPUESTA_ARQUITECTONICA,4
OM_PROP_005,1. Formato y entrega de planos,Se entrega el archivo digital del Proyecto Técnico.,Cumple|No Cumple|No Aplica,"Ordenanza No. 016-2023, Artículo 95, numeral 1",,PROPUESTA_ARQUITECTONICA,5
OM_PROP_006,1.1. Ubicación,La ubicación abarca una zona de 300 m de radio.,Cumple|No Cumple|No Aplica,"Ordenanza No. 016-2023, Artículo 95, numeral 1.1",,PROPUESTA_ARQUITECTONICA,6
OM_PROP_007,1.1. Ubicación,La ubicación contiene la orientación correcta y los nombres de las calles.,Cumple|No Cumple|No Aplica,"Ordenanza No. 016-2023, Artículo 95, numeral 1.1",,PROPUESTA_ARQUITECTONICA,7
OM_PROP_008,1.1. Ubicación,La ubicación está georreferenciada.,Cumple|No Cumple|No Aplica,"Ordenanza No. 016-2023, Artículo 95, numeral 1.1",,PROPUESTA_ARQUITECTONICA,8
OM_PROP_009,1.1. Ubicación,"Se identifica claramente el predio donde se implantará el proyecto, sin escala.",Cumple|No Cumple|No Aplica,"Ordenanza No. 016-2023, Artículo 95, numeral 1.1",,PROPUESTA_ARQUITECTONICA,9
OM_PROP_010,1.2. Levantamiento planimétrico y/o topográfico,"El levantamiento está georreferenciado en el sistema oficial UTM, WGS 84, zona 17, latitud Sur.",Cumple|No Cumple|No Aplica,"Ordenanza No. 016-2023, Artículo 95, numeral 1.2",,PROPUESTA_ARQUITECTONICA,10
OM_PROP_011,1.2. Levantamiento planimétrico y/o topográfico,"Se identifican las construcciones existentes, cuando corresponda.",Cumple|No Cumple|No Aplica,"Ordenanza No. 016-2023, Artículo 95, numeral 1.2",,PROPUESTA_ARQUITECTONICA,11
OM_PROP_012,1.2. Levantamiento planimétrico y/o topográfico,"Se identifican líneas de alta tensión, acequias, canales de riego y quebradas, con sus respectivos márgenes de protección, cuando corresponda.",Cumple|No Cumple|No Aplica,"Ordenanza No. 016-2023, Artículo 95, numeral 1.2",,PROPUESTA_ARQUITECTONICA,12
OM_PROP_013,1.2. Levantamiento planimétrico y/o topográfico,Se indican las dimensiones de los linderos.,Cumple|No Cumple|No Aplica,"Ordenanza No. 016-2023, Artículo 95, numeral 1.2",,PROPUESTA_ARQUITECTONICA,13
OM_PROP_014,1.2. Levantamiento planimétrico y/o topográfico,"En construcciones adosadas, se identifica el nivel natural del terreno.",Cumple|No Cumple|No Aplica,"Ordenanza No. 016-2023, Artículo 95, numeral 1.2",,PROPUESTA_ARQUITECTONICA,14
OM_PROP_015,1.3. Implantación,El plano de implantación indica claramente las medidas y los ángulos del terreno.,Cumple|No Cumple|No Aplica,"Ordenanza No. 016-2023, Artículo 95, numeral 1.3",,PROPUESTA_ARQUITECTONICA,15
OM_PROP_016,1.3. Implantación,El plano de implantación identifica retiros y afectaciones.,Cumple|No Cumple|No Aplica,"Ordenanza No. 016-2023, Artículo 95, numeral 1.3",,PROPUESTA_ARQUITECTONICA,16
OM_PROP_017,1.3. Implantación,El plano de implantación identifica el nivel o altura de los colindantes y el eje vial.,Cumple|No Cumple|No Aplica,"Ordenanza No. 016-2023, Artículo 95, numeral 1.3",,PROPUESTA_ARQUITECTONICA,17
OM_PROP_018,1.4.1. Plantas,Las plantas están dimensionadas al exterior.,Cumple|No Cumple|No Aplica,"Ordenanza No. 016-2023, Artículo 95, numeral 1.4.1",,PROPUESTA_ARQUITECTONICA,18
OM_PROP_019,1.4.1. Plantas,Las plantas indican las medidas parciales y totales de los locales.,Cumple|No Cumple|No Aplica,"Ordenanza No. 016-2023, Artículo 95, numeral 1.4.1",,PROPUESTA_ARQUITECTONICA,19
OM_PROP_020,1.4.1. Plantas,Las plantas indican los espesores de muros.,Cumple|No Cumple|No Aplica,"Ordenanza No. 016-2023, Artículo 95, numeral 1.4.1",,PROPUESTA_ARQUITECTONICA,20
OM_PROP_021,1.4.1. Plantas,Las plantas representan la apertura de puertas y ventanas.,Cumple|No Cumple|No Aplica,"Ordenanza No. 016-2023, Artículo 95, numeral 1.4.1",,PROPUESTA_ARQUITECTONICA,21
OM_PROP_022,1.4.1. Plantas,Se toma como cota de referencia el nivel de la acera.,Cumple|No Cumple|No Aplica,"Ordenanza No. 016-2023, Artículo 95, numeral 1.4.1",,PROPUESTA_ARQUITECTONICA,22
OM_PROP_023,1.4.2. Plantas,"Cuando no es posible dimensionar hacia las cotas exteriores, las medidas interiores se acotan conforme a las particularidades del proyecto, incluidos patios de iluminación y ventilación.",Cumple|No Cumple|No Aplica,"Ordenanza No. 016-2023, Artículo 95, numeral 1.4.2",,PROPUESTA_ARQUITECTONICA,23
OM_PROP_024,1.4.3. Cubierta,En la planta de cubierta inclinada se indican las pendientes expresadas en porcentaje.,Cumple|No Cumple|No Aplica,"Ordenanza No. 016-2023, Artículo 95, numeral 1.4.3",,PROPUESTA_ARQUITECTONICA,24
OM_PROP_025,1.4.4. Plantas,Dentro de cada local se identifica su designación.,Cumple|No Cumple|No Aplica,"Ordenanza No. 016-2023, Artículo 95, numeral 1.4.4",,PROPUESTA_ARQUITECTONICA,25
OM_PROP_026,1.4.4. Plantas,Se colocan cotas de nivel en los sitios necesarios para comprender el proyecto.,Cumple|No Cumple|No Aplica,"Ordenanza No. 016-2023, Artículo 95, numeral 1.4.4",,PROPUESTA_ARQUITECTONICA,26
OM_PROP_027,1.5.1. Cortes,Los cortes se presentan en la misma escala adoptada para las plantas.,Cumple|No Cumple|No Aplica,"Ordenanza No. 016-2023, Artículo 95, numeral 1.5.1",,PROPUESTA_ARQUITECTONICA,27
OM_PROP_028,1.5.1. Cortes,Se presenta el número de cortes necesario para la claridad del proyecto.,Cumple|No Cumple|No Aplica,"Ordenanza No. 016-2023, Artículo 95, numeral 1.5.1",,PROPUESTA_ARQUITECTONICA,28
OM_PROP_029,1.5.1. Cortes,Se presentan como mínimo dos cortes: uno en cada sentido.,Cumple|No Cumple|No Aplica,"Ordenanza No. 016-2023, Artículo 95, numeral 1.5.1",,PROPUESTA_ARQUITECTONICA,29
OM_PROP_030,1.5.1. Cortes,"Por lo menos un corte contempla el desarrollo de una grada, cuando exista.",Cumple|No Cumple|No Aplica,"Ordenanza No. 016-2023, Artículo 95, numeral 1.5.1",,PROPUESTA_ARQUITECTONICA,30
OM_PROP_031,1.5.2. Cortes,Los cortes están dimensionados e identifican los niveles de cada una de las plantas.,Cumple|No Cumple|No Aplica,"Ordenanza No. 016-2023, Artículo 95, numeral 1.5.2",,PROPUESTA_ARQUITECTONICA,31
OM_PROP_032,1.5.2. Cortes,Los cortes identifican el nivel actual del terreno.,Cumple|No Cumple|No Aplica,"Ordenanza No. 016-2023, Artículo 95, numeral 1.5.2",,PROPUESTA_ARQUITECTONICA,32
OM_PROP_033,1.6.1. Fachadas,Se representan todas las fachadas del edificio o edificios.,Cumple|No Cumple|No Aplica,"Ordenanza No. 016-2023, Artículo 95, numeral 1.6.1",,PROPUESTA_ARQUITECTONICA,33
OM_PROP_034,1.6.1. Fachadas,Las fachadas se presentan en la misma escala adoptada para plantas y cortes.,Cumple|No Cumple|No Aplica,"Ordenanza No. 016-2023, Artículo 95, numeral 1.6.1",,PROPUESTA_ARQUITECTONICA,34
OM_PROP_035,1.7. Cuadro de datos,El cuadro de datos indica el área total del predio.,Cumple|No Cumple|No Aplica,"Ordenanza No. 016-2023, Artículo 95, numeral 1.7",,PROPUESTA_ARQUITECTONICA,35
OM_PROP_036,1.7. Cuadro de datos,El cuadro de datos indica el área de afectación.,Cumple|No Cumple|No Aplica,"Ordenanza No. 016-2023, Artículo 95, numeral 1.7",,PROPUESTA_ARQUITECTONICA,36
OM_PROP_037,1.7. Cuadro de datos,El cuadro de datos indica el área de construcción.,Cumple|No Cumple|No Aplica,"Ordenanza No. 016-2023, Artículo 95, numeral 1.7",,PROPUESTA_ARQUITECTONICA,37
OM_PROP_038,1.7. Cuadro de datos,El cuadro de datos indica las unidades de edificación por uso.,Cumple|No Cumple|No Aplica,"Ordenanza No. 016-2023, Artículo 95, numeral 1.7",,PROPUESTA_ARQUITECTONICA,38
OM_PROP_039,1.7. Cuadro de datos,El cuadro de datos diferencia áreas computables y no computables.,Cumple|No Cumple|No Aplica,"Ordenanza No. 016-2023, Artículo 95, numeral 1.7",,PROPUESTA_ARQUITECTONICA,39
OM_PROP_040,1.7. Cuadro de datos,El cuadro de datos diferencia áreas abiertas y cerradas.,Cumple|No Cumple|No Aplica,"Ordenanza No. 016-2023, Artículo 95, numeral 1.7",,PROPUESTA_ARQUITECTONICA,40
OM_PROP_041,1.7. Cuadro de datos,El cuadro de datos incluye COS PB y COS total según el formato establecido.,Cumple|No Cumple|No Aplica,"Ordenanza No. 016-2023, Artículo 95, numeral 1.7",,PROPUESTA_ARQUITECTONICA,41
OM_PROP_042,1.8. Propiedad horizontal,"Cuando el proyecto se declarará bajo régimen de propiedad horizontal, el cuadro incluye el área comunal.",Cumple|No Cumple|No Aplica,"Ordenanza No. 016-2023, Artículo 95, numeral 1.8",,PROPUESTA_ARQUITECTONICA,42
OM_PROP_043,1.8. Propiedad horizontal,"Cuando el proyecto se declarará bajo régimen de propiedad horizontal, el cuadro incluye el área verde.",Cumple|No Cumple|No Aplica,"Ordenanza No. 016-2023, Artículo 95, numeral 1.8",,PROPUESTA_ARQUITECTONICA,43
OM_PROP_044,1.8. Propiedad horizontal,"Cuando el proyecto se declarará bajo régimen de propiedad horizontal, el cuadro incluye los equipamientos.",Cumple|No Cumple|No Aplica,"Ordenanza No. 016-2023, Artículo 95, numeral 1.8",,PROPUESTA_ARQUITECTONICA,44
OM_PROP_045,1.9.1. Planos estructurales,"En proyectos de más de dos pisos o 400 m² de área bruta, los planos representan el diseño de la estructura del edificio.",Cumple|No Cumple|No Aplica,"Ordenanza No. 016-2023, Artículo 95, numeral 1.9.1",,PROPUESTA_ARQUITECTONICA,45
OM_PROP_046,1.9.1. Planos estructurales,Los planos estructurales representan el armado de sus elementos.,Cumple|No Cumple|No Aplica,"Ordenanza No. 016-2023, Artículo 95, numeral 1.9.1",,PROPUESTA_ARQUITECTONICA,46
OM_PROP_047,1.9.1. Planos estructurales,Los planos estructurales incluyen detalles y especificaciones debidamente acotados.,Cumple|No Cumple|No Aplica,"Ordenanza No. 016-2023, Artículo 95, numeral 1.9.1",,PROPUESTA_ARQUITECTONICA,47
OM_PROP_048,1.9.1. Planos estructurales,Se acompaña el Estudio de Suelo.,Cumple|No Cumple|No Aplica,"Ordenanza No. 016-2023, Artículo 95, numeral 1.9.1",,PROPUESTA_ARQUITECTONICA,48
OM_PROP_049,1.9.1. Planos estructurales,Se acompaña la Memoria de Cálculo Estructural.,Cumple|No Cumple|No Aplica,"Ordenanza No. 016-2023, Artículo 95, numeral 1.9.1",,PROPUESTA_ARQUITECTONICA,49
OM_PROP_050,1.9.1. Planos estructurales,El diseño estructural observa las disposiciones de la Norma Ecuatoriana de la Construcción (NEC).,Cumple|No Cumple|No Aplica,"Ordenanza No. 016-2023, Artículo 95, numeral 1.9.1",,PROPUESTA_ARQUITECTONICA,50
OM_PROP_051,1.10. Ampliación o modificación,En ampliaciones o modificaciones se presentan planos de las secciones nuevas y de las escalas en la edificación para verificar las condiciones de seguridad.,Cumple|No Cumple|No Aplica,"Ordenanza No. 016-2023, Artículo 95, numeral 1.10",,PROPUESTA_ARQUITECTONICA,51
OM_PROP_052,1.10. Ampliación o modificación,Las demoliciones se identifican en color amarillo.,Cumple|No Cumple|No Aplica,"Ordenanza No. 016-2023, Artículo 95, numeral 1.10",,PROPUESTA_ARQUITECTONICA,52
OM_PROP_053,1.10. Ampliación o modificación,La construcción nueva se identifica en color rojo.,Cumple|No Cumple|No Aplica,"Ordenanza No. 016-2023, Artículo 95, numeral 1.10",,PROPUESTA_ARQUITECTONICA,53
OM_PROP_054,1.10. Ampliación o modificación,La construcción sin demoler se identifica en color negro.,Cumple|No Cumple|No Aplica,"Ordenanza No. 016-2023, Artículo 95, numeral 1.10",,PROPUESTA_ARQUITECTONICA,54
OM_PROP_055,2. Memoria fotográfica,La memoria fotográfica permite apreciar la vista frontal del lote a edificar.,Cumple|No Cumple|No Aplica,"Ordenanza No. 016-2023, Artículo 95, numeral 2",,PROPUESTA_ARQUITECTONICA,55
OM_PROP_056,2. Memoria fotográfica,La memoria fotográfica permite apreciar el entorno.,Cumple|No Cumple|No Aplica,"Ordenanza No. 016-2023, Artículo 95, numeral 2",,PROPUESTA_ARQUITECTONICA,56
OM_PROP_057,2. Memoria fotográfica,La memoria fotográfica permite apreciar los accesos.,Cumple|No Cumple|No Aplica,"Ordenanza No. 016-2023, Artículo 95, numeral 2",,PROPUESTA_ARQUITECTONICA,57
OM_PROP_058,2. Memoria fotográfica,La memoria fotográfica permite apreciar las obras instaladas.,Cumple|No Cumple|No Aplica,"Ordenanza No. 016-2023, Artículo 95, numeral 2",,PROPUESTA_ARQUITECTONICA,58
OM_PROP_059,2. Memoria fotográfica,La memoria fotográfica permite apreciar los colindantes.,Cumple|No Cumple|No Aplica,"Ordenanza No. 016-2023, Artículo 95, numeral 2",,PROPUESTA_ARQUITECTONICA,59
OM_PROP_060,2. Memoria fotográfica,Cada fotografía contiene la descripción de lo mostrado.,Cumple|No Cumple|No Aplica,"Ordenanza No. 016-2023, Artículo 95, numeral 2",,PROPUESTA_ARQUITECTONICA,60
OM_PROP_061,2. Memoria fotográfica,La memoria fotográfica se presenta en una hoja formato A4 y en formato digital.,Cumple|No Cumple|No Aplica,"Ordenanza No. 016-2023, Artículo 95, numeral 2",,PROPUESTA_ARQUITECTONICA,61
OM_PROP_062,3. Memoria técnica,Presenta la Memoria Técnica del Proyecto Técnico de Edificación de Obra Mayor.,Cumple|No Cumple|No Aplica,"Ordenanza No. 016-2023, Artículo 95, numeral 3",,PROPUESTA_ARQUITECTONICA,62
